step,value(earl-cpo),value(earl-cpo-no-init),value(earl-cpo-init-step)
0,77.0,0.0,4709.0
25,77982.5,0.0,56761.5
50,137224.75,0.0,94777.75
75,160035.375,0.0,128711.875
100,173177.6875,6.5,147238.9375
125,170909.34375,50.75,153094.96875
150,172515.171875,150.875,157666.984375
175,170973.5859375,328.9375,163384.4921875
200,167608.79296875,1207.96875,164232.24609375
225,167756.396484375,1266.484375,164421.623046875
250,170536.6982421875,1615.7421875,160334.3115234375
275,170627.34912109375,,156341.65576171875
